ConversationID,ClienteID,FechaHora,Canal,Intencion,Servicio,DuracionMinutos,TuvoError,EstadoConversacion,Convertido,Satisfaccion
1,1266,2025-09-04 15:11:00,Web,Cancelar servicio,Ventas,4,False,Finalizada,True,5
2,625,2025-06-02 18:25:25,WhatsApp,Agendar servicio,Atención al Cliente,5,False,Finalizada,False,4
3,1610,2025-05-08 20:09:10,Facebook,Cancelar servicio,Soporte,3,False,Finalizada,True,5
4,1583,2025-12-05 18:28:18,WhatsApp,Cancelar servicio,Atención Comercial,3,False,Finalizada,False,5
5,1595,2025-07-24 03:47:46,WhatsApp,Solicitar información,Soporte,5,False,Finalizada,True,5
6,699,2025-11-13 18:16:21,WhatsApp,Consultar precios,Ventas,3,False,Finalizada,False,3
7,1545,2025-12-17 18:32:08,Web,Consultar precios,Postventa,5,False,Finalizada,False,4
8,110,2025-02-22 13:47:32,Instagram,Soporte técnico,Atención Comercial,18,False,Abandonada,False,1
9,1490,2025-11-12 20:36:44,Facebook,Reclamo,Atención Comercial,12,True,Abandonada,False,1
10,1361,2025-09-12 12:01:29,WhatsApp,Agendar servicio,Atención Comercial,6,False,Finalizada,True,5
11,767,2025-07-04 18:02:12,WhatsApp,Solicitar información,Atención al Cliente,5,False,Finalizada,False,5
12,1625,2025-05-12 12:39:29,WhatsApp,Solicitar información,Atención Comercial,4,False,Finalizada,True,4
13,1619,2025-07-18 20:50:17,WhatsApp,Consultar precios,Atención Comercial,3,False,Finalizada,False,4
14,1729,2025-02-24 03:57:34,WhatsApp,Cancelar servicio,Postventa,4,False,Finalizada,True,4
15,1733,2025-05-17 17:10:43,Instagram,Agendar servicio,Atención al Cliente,5,False,Finalizada,False,3
16,695,2025-08-01 19:49:39,WhatsApp,Agendar servicio,Ventas,6,False,Abandonada,False,2
17,317,2025-05-13 09:11:46,WhatsApp,Consultar precios,Ventas,3,False,Finalizada,True,5
18,1698,2025-12-08 20:06:34,WhatsApp,Solicitar información,Ventas,5,False,Finalizada,True,5
19,29,2025-09-03 19:28:06,Web,Seguimiento,Postventa,7,False,Finalizada,False,3
20,353,2025-10-22 15:53:35,WhatsApp,Consultar precios,Atención Comercial,4,False,Finalizada,True,5
21,1468,2025-11-16 13:43:35,WhatsApp,Solicitar información,Soporte,6,False,Finalizada,False,3
22,1752,2025-07-10 08:18:43,WhatsApp,Seguimiento,Atención Comercial,7,False,Finalizada,False,4
23,117,2025-04-14 04:48:00,Instagram,Soporte técnico,Atención Comercial,14,False,Abandonada,False,1
24,659,2025-06-06 13:37:11,WhatsApp,Agendar servicio,Postventa,8,False,Finalizada,True,4
25,508,2025-02-25 10:01:31,Telegram,Cancelar servicio,Atención Comercial,2,False,Finalizada,False,3
26,1950,2025-10-29 09:29:22,WhatsApp,Seguimiento,Postventa,4,False,Finalizada,False,3
27,1228,2025-11-10 18:03:40,WhatsApp,Solicitar información,Ventas,4,False,Finalizada,False,5
28,691,2025-07-21 17:03:48,Facebook,Soporte técnico,Soporte,16,True,Finalizada,True,2
