FechaID,Fecha,Anio,Mes,NombreMes,Trimestre,Dia,DiaSemana,Semana
1,2025-01-01,2025,1,Enero,1,1,Miércoles,1
2,2025-01-02,2025,1,Enero,1,2,Jueves,1
3,2025-01-03,2025,1,Enero,1,3,Viernes,1
4,2025-01-04,2025,1,Enero,1,4,Sábado,1
5,2025-01-05,2025,1,Enero,1,5,Domingo,1
6,2025-01-06,2025,1,Enero,1,6,Lunes,2
7,2025-01-07,2025,1,Enero,1,7,Martes,2
8,2025-01-08,2025,1,Enero,1,8,Miércoles,2
9,2025-01-09,2025,1,Enero,1,9,Jueves,2
10,2025-01-10,2025,1,Enero,1,10,Viernes,2
11,2025-01-11,2025,1,Enero,1,11,Sábado,2
12,2025-01-12,2025,1,Enero,1,12,Domingo,2
13,2025-01-13,2025,1,Enero,1,13,Lunes,3
14,2025-01-14,2025,1,Enero,1,14,Martes,3
15,2025-01-15,2025,1,Enero,1,15,Miércoles,3
16,2025-01-16,2025,1,Enero,1,16,Jueves,3
17,2025-01-17,2025,1,Enero,1,17,Viernes,3
18,2025-01-18,2025,1,Enero,1,18,Sábado,3
19,2025-01-19,2025,1,Enero,1,19,Domingo,3
20,2025-01-20,2025,1,Enero,1,20,Lunes,4
21,2025-01-21,2025,1,Enero,1,21,Martes,4
22,2025-01-22,2025,1,Enero,1,22,Miércoles,4
23,2025-01-23,2025,1,Enero,1,23,Jueves,4
24,2025-01-24,2025,1,Enero,1,24,Viernes,4
25,2025-01-25,2025,1,Enero,1,25,Sábado,4
26,2025-01-26,2025,1,Enero,1,26,Domingo,4
27,2025-01-27,2025,1,Enero,1,27,Lunes,5
28,2025-01-28,2025,1,Enero,1,28,Martes,5
29,2025-01-29,2025,1,Enero,1,29,Miércoles,5
30,2025-01-30,2025,1,Enero,1,30,Jueves,5
31,2025-01-31,2025,1,Enero,1,31,Viernes,5
32,2025-02-01,2025,2,Febrero,1,1,Sábado,5
33,2025-02-02,2025,2,Febrero,1,2,Domingo,5
34,2025-02-03,2025,2,Febrero,1,3,Lunes,6
35,2025-02-04,2025,2,Febrero,1,4,Martes,6
36,2025-02-05,2025,2,Febrero,1,5,Miércoles,6
37,2025-02-06,2025,2,Febrero,1,6,Jueves,6
38,2025-02-07,2025,2,Febrero,1,7,Viernes,6
39,2025-02-08,2025,2,Febrero,1,8,Sábado,6
40,2025-02-09,2025,2,Febrero,1,9,Domingo,6
41,2025-02-10,2025,2,Febrero,1,10,Lunes,7
42,2025-02-11,2025,2,Febrero,1,11,Martes,7
43,2025-02-12,2025,2,Febrero,1,12,Miércoles,7
44,2025-02-13,2025,2,Febrero,1,13,Jueves,7
45,2025-02-14,2025,2,Febrero,1,14,Viernes,7
46,2025-02-15,2025,2,Febrero,1,15,Sábado,7
47,2025-02-16,2025,2,Febrero,1,16,Domingo,7
48,2025-02-17,2025,2,Febrero,1,17,Lunes,8
49,2025-02-18,2025,2,Febrero,1,18,Martes,8
50,2025-02-19,2025,2,Febrero,1,19,Miércoles,8
51,2025-02-20,2025,2,Febrero,1,20,Jueves,8
52,2025-02-21,2025,2,Febrero,1,21,Viernes,8
53,2025-02-22,2025,2,Febrero,1,22,Sábado,8
54,2025-02-23,2025,2,Febrero,1,23,Domingo,8
55,2025-02-24,2025,2,Febrero,1,24,Lunes,9
