ConversationID,ClienteID,FechaID,CanalID,ServicioID,IntencionID,DuracionMinutos,TuvoError,EstadoConversacion,Convertido,Satisfaccion
1,1266,247,4,5,2,4,False,Finalizada,True,5
2,625,153,5,2,1,5,False,Finalizada,False,4
3,1610,128,1,4,2,3,False,Finalizada,True,5
4,1583,339,5,1,2,3,False,Finalizada,False,5
5,1595,205,5,4,6,5,False,Finalizada,True,5
6,699,317,5,5,3,3,False,Finalizada,False,3
7,1545,351,4,3,3,5,False,Finalizada,False,4
8,110,53,2,1,7,18,False,Abandonada,False,1
9,1490,316,1,1,4,12,True,Abandonada,False,1
10,1361,255,5,1,1,6,False,Finalizada,True,5
11,767,185,5,2,6,5,False,Finalizada,False,5
12,1625,132,5,1,6,4,False,Finalizada,True,4
13,1619,199,5,1,3,3,False,Finalizada,False,4
14,1729,55,5,3,2,4,False,Finalizada,True,4
15,1733,137,2,2,1,5,False,Finalizada,False,3
16,695,213,5,5,1,6,False,Abandonada,False,2
17,317,133,5,5,3,3,False,Finalizada,True,5
18,1698,342,5,5,6,5,False,Finalizada,True,5
19,29,246,4,3,5,7,False,Finalizada,False,3
20,353,295,5,1,3,4,False,Finalizada,True,5
21,1468,320,5,4,6,6,False,Finalizada,False,3
22,1752,191,5,1,5,7,False,Finalizada,False,4
23,117,104,2,1,7,14,False,Abandonada,False,1
24,659,157,5,3,1,8,False,Finalizada,True,4
25,508,56,3,1,2,2,False,Finalizada,False,3
26,1950,302,5,3,5,4,False,Finalizada,False,3
27,1228,314,5,5,6,4,False,Finalizada,False,5
28,691,202,1,4,7,16,True,Finalizada,True,2
29,841,328,5,4,7,13,False,Finalizada,True,5
30,732,225,4,1,2,4,False,Finalizada,False,4
31,1779,15,4,4,4,15,True,Finalizada,True,3
32,1119,10,5,4,2,3,False,Finalizada,False,3
33,229,120,5,1,3,4,False,Finalizada,True,5
34,563,247,5,3,6,5,False,Finalizada,True,5
35,1394,69,1,4,1,6,False,Abandonada,False,2
36,711,208,4,1,7,11,False,Finalizada,True,5
37,1540,143,4,1,6,6,False,Finalizada,True,5
38,533,300,4,5,2,2,False,Finalizada,False,4
39,76,62,5,1,1,5,False,Finalizada,False,4
40,1059,176,5,2,1,7,False,Finalizada,False,3
41,678,172,5,3,2,2,False,Finalizada,False,4
42,939,104,4,5,2,2,False,Finalizada,False,4
43,1157,121,4,1,4,9,True,Finalizada,True,3
44,1347,317,5,2,3,3,False,Finalizada,False,3
45,1220,230,5,5,1,8,False,Finalizada,True,4
46,1049,320,5,5,2,3,False,Finalizada,True,5
47,69,163,5,2,7,14,False,Finalizada,False,5
48,818,79,5,1,5,6,False,Finalizada,True,5
49,1493,211,5,3,6,6,False,Finalizada,False,4
50,1142,166,5,2,3,5,False,Abandonada,False,1
51,1990,173,5,5,1,7,False,Finalizada,False,4
52,793,127,2,4,5,7,False,Abandonada,False,1
53,673,125,4,1,5,7,False,Finalizada,True,4
54,353,330,1,1,3,4,False,Finalizada,True,5
55,1027,262,1,3,5,6,True,Finalizada,False,3
56,261,116,4,2,7,12,False,Finalizada,False,3
57,1573,217,5,4,2,4,False,Finalizada,False,3
58,175,22,1,1,1,5,True,Finalizada,False,2
59,443,203,5,5,6,6,False,Finalizada,False,3
60,552,217,4,2,6,4,False,Abandonada,False,2
61,1402,2,4,5,2,2,True,Finalizada,False,3
62,122,343,2,1,1,8,False,Finalizada,False,4
63,273,266,4,5,4,11,False,Abandonada,False,2
64,701,290,1,2,7,15,True,Finalizada,False,2
65,389,2,4,5,7,17,True,Finalizada,True,3
66,326,326,4,1,3,3,False,Abandonada,False,1
67,142,68,4,5,3,3,False,Abandonada,False,2
68,273,81,1,1,6,5,False,Finalizada,False,5
69,264,225,4,1,5,6,False,Finalizada,True,5
70,132,253,2,2,3,3,False,Finalizada,True,5
71,1477,190,4,3,1,6,False,Abandonada,False,1
72,683,288,4,3,5,7,False,Finalizada,False,4
73,1454,59,5,3,2,4,False,Finalizada,False,3
74,88,180,5,5,4,13,True,Finalizada,False,1
75,581,200,3,1,4,9,False,Finalizada,False,5
76,270,215,2,1,4,13,True,Abandonada,False,2
77,129,146,5,2,5,5,False,Finalizada,True,5
78,1193,159,4,4,1,6,False,Finalizada,True,5
79,1706,302,1,3,3,3,False,Finalizada,False,5
80,1540,163,4,2,6,6,True,Finalizada,True,2
81,1771,152,5,4,6,5,False,Finalizada,True,5
82,286,69,3,5,6,4,False,Finalizada,False,3
83,1175,259,2,2,6,5,False,Finalizada,True,5
84,1483,90,4,1,2,4,False,Abandonada,False,1
85,1392,321,5,1,7,12,False,Finalizada,False,5
86,1066,303,5,3,5,4,False,Finalizada,False,5
87,362,136,4,3,5,5,True,Finalizada,False,2
88,567,47,5,5,6,6,False,Finalizada,True,5
89,1100,137,5,2,2,4,False,Finalizada,True,5
90,1906,175,3,5,4,9,True,Finalizada,True,3
91,619,211,2,1,6,5,False,Finalizada,True,5
92,1391,31,4,3,4,15,False,Abandonada,False,1
93,1979,239,5,5,3,4,False,Finalizada,True,5
94,1913,251,1,5,5,7,False,Abandonada,False,2
95,1517,155,4,3,7,17,False,Finalizada,False,3
96,1952,247,5,1,4,12,True,Abandonada,False,1
97,1898,213,4,4,6,6,False,Finalizada,True,5
